"Case ID";"Throughput time"
"505451067402900010";"166"
"505453003180600010";"53"
"505451068053200090";"3"
"505453003312100010";"32"
"505451068120200010";"14"
"505451066264200140";"91"
"505450051643100010";"4"
"505450051950400010";"81"
"505450051161100020";"151"
"505451067980600150";"5"
"505451067345000010";"169"
"505451067402700010";"132"
"505451066038500010";"83"
"505451067877100010";"4"
"505451069101700010";"0"
"505451067900500050";"10"
"505450052265300010";""
"505451068412100010";"84"
"505450051729200010";"4"
"505450052009900050";"13"
"505453003327100030";"24"
"505451065982100010";"18"
"505451066635100200";"30"
"505451066540900020";"28"
"505451067903400010";"105"
"505453003141000040";"87"
"505451066116000010";"43"
"505450051949800020";"73"
"505451066504900010";"31"
"505451066784400010";"100"
"505450051727400020";"4"
"505450051161100050";"148"
"505451066264200030";"91"
"505453003267300030";"64"
"505450051447300010";""
"505451068077700020";"5"
"505451066527700020";"30"
"505451067635800010";"112"
"505451068544700040";"7"
"505451068570700010";"0"
"505451068122000010";"69"
"505451067979600110";"9"
"505453003171100040";"76"
"505451068580100010";"3"
"505451069116400030";"3"
"505451067980900140";"5"
"505453003191200010";"108"
"505451066282700010";"31"
"505450051484600110";""
"505451068086000030";"5"
"505453003339800050";"0"
"505451066898500010";"42"
"505451067979600170";"9"
"505451068630200010";"70"
"505450051736800010";"105"
"505453003209800010";"138"
"505453003252200030";"0"
"505453003291100010";"1"
"505451066963900010";"84"
"505451067070000040";"153"
"505453003273500010";"28"
"505451067403900010";"166"
"505451067980600200";"5"
"505450052040300010";"54"
"505451067345200010";"169"
"505453003327100020";"24"
"505450051661100010";"20"
"505451067980600050";"5"
"505450051110400030";"77"
"505453003164500050";"150"
"505453003164500090";"90"
"505450051839500020";"10"
"505453003226600010";"141"
"505450051766900010";"6"
"505450051355900070";"134"
"505453003211300010";"89"
"505450051794800010";"54"
"505451067173000010";"181"
"505451067979600070";"9"
"505451067980900150";"5"
"505451066757100010";"43"
"505453003188700020";"86"
"505451068730500010";"20"
"505453003157700020";"34"
"505451067980600060";"5"
"505453003174600020";"35"
"505451068053200070";"3"
"505451067220300040";"176"
"505451066116000040";"43"
"505450051839500010";"10"
"505451068570000010";"72"
"505450051629100020";"1"
"505451067136100010";"42"
"505451067979900040";"6"
"505453003143800010";"66"
"505450052112800050";"27"
"505450051484600100";""
"505451068077700040";"5"
"505451066391200010";"69"
"505451067903400030";"105"
"505451066504800010";"101"
"505450051936900030";"26"
"505451067220300230";"176"
"505453003268300040";"26"
"505451068122100010";"103"
"505453003353100030";"0"
"505450051456500010";"69"
"505451067220300050";"176"
"505451067220300090";"176"
"505451068245700020";"36"
"505451067069900020";""
"505451067240900010";"22"
"505450051437000010";""
"505451066409500010";"18"
"505453003141000030";"91"
"505451067833000010";"86"
"505451067666300010";"30"
"505451068544700070";"7"
"505450052122200030";"13"
"505450052196100010";"5"
"505453003242200010";"72"
"505451067980600140";"111"
"505451069116400020";"3"
"505451066479600040";"22"
"505450052122200040";"23"
"505453003164500080";"90"
"505450051558000010";"11"
"505450051161100070";"151"
"505450051304600020";"151"
"505451068544700020";"7"
"505451067134100020";"175"
"505451069482600010";"0"
"505450052016600010";"14"
"505450051855400050";"6"
"505450051547300020";"7"
"505451067356600010";"134"
"505451069145900010";"0"
"505451067233700010";"176"
"505453003312200010";"38"
"505451066592400010";""
"505451067979900090";"6"
"505450051526600050";"13"
"505450052117000020";"7"
"505453003121100020";"2"
"505451067172900030";"181"
"505450051495500010";"43"
"505450052166600010";"29"
"505451066157200030";"43"
"505450052129900020";"5"
"505451067172300020";"181"
"505451067980900090";"5"
"505450051742200020";"59"
"505451068544700060";"7"
"505451068421500010";"50"
"505450051164100010";"77"
"505451069454000060";"6"
"505453003252200010";"97"
"505451066479600050";"30"
"505453003164500100";"90"
"505451066963400010";"42"
"505450052027800020";"28"
"505451066635100080";"27"
"505451068077700070";"5"
"505453003226500010";"111"
"505450051727400010";"4"
"505450051367500010";"148"
"505451068969100100";"17"
"505453003191200020";"113"
"505450052062000010";"48"
"505450051797600030";"7"
"505453003290400020";"59"
"505451066635100020";"30"
"505453003194400040";"43"
"505451066264200160";"90"
"505451068077700030";"5"
"505451069116400040";"3"
"505450051484600060";""
"505450052238100010";"17"
